mes_ref,indice,inicio_coleta,fim_coleta,data_divulgacao
2012-01,ipca15,2011-12-14,2012-01-13,2012-01-24
2012-02,ipca15,2012-01-14,2012-02-10,2012-02-17
2012-03,ipca15,2012-02-11,2012-03-14,2012-03-22
2012-04,ipca15,2012-03-15,2012-04-13,2012-04-24
2012-05,ipca15,2012-04-14,2012-05-14,2012-05-22
2012-06,ipca15,2012-05-15,2012-06-13,2012-06-21
2012-07,ipca15,2012-06-14,2012-07-13,2012-07-20
2012-08,ipca15,2012-07-14,2012-08-13,2012-08-22
2012-09,ipca15,2012-08-14,2012-09-12,2012-09-20
2012-10,ipca15,2012-09-13,2012-10-11,2012-10-19
2012-11,ipca15,2012-10-12,2012-11-13,2012-11-22
2012-12,ipca15,2012-11-14,2012-12-11,2012-12-19
2012-01,ipca/inpc,2011-12-29,2012-01-27,2012-02-10
2012-02,ipca/inpc,2012-01-28,2012-02-29,2012-03-09
2012-03,ipca/inpc,2012-03-01,2012-03-28,2012-04-05
2012-04,ipca/inpc,2012-03-29,2012-04-27,2012-05-09
2012-05,ipca/inpc,2012-04-28,2012-05-28,2012-06-06
2012-06,ipca/inpc,2012-05-29,2012-06-28,2012-07-06
2012-07,ipca/inpc,2012-06-29,2012-07-27,2012-08-08
2012-08,ipca/inpc,2012-07-28,2012-08-27,2012-09-05
2012-09,ipca/inpc,2012-08-28,2012-09-27,2012-10-05
2012-10,ipca/inpc,2012-09-28,2012-10-29,2012-11-07
2012-11,ipca/inpc,2012-10-30,2012-11-28,2012-12-07
2012-12,ipca/inpc,2012-11-29,2012-12-28,2013-01-10
2013-01,ipca15,2012-12-12,2013-01-15,2013-01-23
2013-02,ipca15,2013-01-16,2013-02-14,2013-02-22
2013-03,ipca15,2013-02-15,2013-03-14,2013-03-22
2013-04,ipca15,2013-03-15,2013-04-12,2013-04-19
2013-05,ipca15,2013-04-13,2013-05-14,2013-05-22
2013-06,ipca15,2013-05-15,2013-06-13,2013-06-21
2013-07,ipca15,2013-06-14,2013-07-12,2013-07-19
2013-08,ipca15,2013-07-13,2013-08-13,2013-08-21
2013-09,ipca15,2013-08-14,2013-09-12,2013-09-20
2013-10,ipca15,2013-09-13,2013-10-11,2013-10-18
2013-11,ipca15,2013-10-12,2013-11-11,2013-11-19
2013-12,ipca15,2013-11-12,2013-12-12,2013-12-19
2013-01,ipca/inpc,2012-12-29,2013-01-29,2013-02-07
2013-02,ipca/inpc,2013-01-30,2013-02-27,2013-03-08
2013-03,ipca/inpc,2013-02-28,2013-03-28,2013-04-10
2013-04,ipca/inpc,2013-03-29,2013-04-26,2013-05-08
2013-05,ipca/inpc,2013-04-27,2013-05-28,2013-06-07
2013-06,ipca/inpc,2013-05-29,2013-06-28,2013-07-05
2013-07,ipca/inpc,2013-06-29,2013-07-29,2013-08-07
2013-08,ipca/inpc,2013-07-30,2013-08-28,2013-09-06
2013-09,ipca/inpc,2013-08-29,2013-09-30,2013-10-09
2013-10,ipca/inpc,2013-10-01,2013-10-29,2013-11-07
2013-11,ipca/inpc,2013-10-30,2013-11-27,2013-12-06
2013-12,ipca/inpc,2013-11-28,2013-12-30,2014-01-10
2014-01,ipca15,2013-12-13,2014-01-15,2014-01-23
2014-02,ipca15,2014-01-16,2014-02-13,2014-02-21
2014-03,ipca15,2014-02-14,2014-03-14,2014-03-21
2014-04,ipca15,2014-03-15,2014-04-11,2014-04-17
2014-05,ipca15,2014-04-12,2014-05-14,2014-05-21
2014-06,ipca15,2014-05-15,2014-06-11,2014-06-18
2014-07,ipca15,2014-06-12,2014-07-14,2014-07-22
2014-08,ipca15,2014-07-15,2014-08-13,2014-08-20
2014-09,ipca15,2014-08-14,2014-09-12,2014-09-19
2014-10,ipca15,2014-09-13,2014-10-13,2014-10-21
2014-11,ipca15,2014-10-14,2014-11-12,2014-11-19
2014-12,ipca15,2014-11-13,2014-12-12,2014-12-19
2014-01,ipca/inpc,2013-12-31,2014-01-29,2014-02-07
2014-02,ipca/inpc,2014-01-30,2014-02-26,2014-03-12
2014-03,ipca/inpc,2014-02-27,2014-03-28,2014-04-09
2014-04,ipca/inpc,2014-03-29,2014-04-28,2014-05-09
2014-05,ipca/inpc,2014-04-29,2014-05-28,2014-06-06
2014-06,ipca/inpc,2014-05-29,2014-06-27,2014-07-08
2014-07,ipca/inpc,2014-06-28,2014-07-28,2014-08-08
2014-08,ipca/inpc,2014-07-29,2014-08-28,2014-09-05
2014-09,ipca/inpc,2014-08-29,2014-09-29,2014-10-08
2014-10,ipca/inpc,2014-09-30,2014-10-28,2014-11-07
2014-11,ipca/inpc,2014-10-29,2014-11-27,2014-12-05
2014-12,ipca/inpc,2014-11-28,2014-12-29,2015-01-09
2015-01,ipca15,2014-12-13,2015-01-13,2015-01-23
2015-02,ipca15,2015-01-14,2015-02-11,2015-02-24
2015-03,ipca15,2015-02-12,2015-03-13,2015-03-20
2015-04,ipca15,2015-03-14,2015-04-13,2015-04-17
2015-05,ipca15,2015-04-14,2015-05-14,2015-05-22
2015-06,ipca15,2015-05-15,2015-06-11,2015-06-19
2015-07,ipca15,2015-06-12,2015-07-14,2015-07-22
2015-08,ipca15,2015-07-15,2015-08-13,2015-08-21
2015-09,ipca15,2015-08-14,2015-09-14,2015-09-22
2015-10,ipca15,2015-09-15,2015-10-14,2015-10-21
2015-11,ipca15,2015-10-15,2015-11-12,2015-11-19
2015-12,ipca15,2015-11-13,2015-12-11,2015-12-18
2015-01,ipca/inpc,2014-12-30,2015-01-28,2015-02-06
2015-02,ipca/inpc,2015-01-29,2015-02-27,2015-03-06
2015-03,ipca/inpc,2015-02-28,2015-03-27,2015-04-08
2015-04,ipca/inpc,2015-03-28,2015-04-29,2015-05-08
2015-05,ipca/inpc,2015-04-30,2015-05-27,2015-06-10
2015-06,ipca/inpc,2015-05-28,2015-06-29,2015-07-08
2015-07,ipca/inpc,2015-06-30,2015-07-29,2015-08-07
2015-08,ipca/inpc,2015-07-30,2015-08-27,2015-09-10
2015-09,ipca/inpc,2015-08-28,2015-09-28,2015-10-07
2015-10,ipca/inpc,2015-09-29,2015-10-27,2015-11-06
2015-11,ipca/inpc,2015-10-28,2015-11-27,2015-12-09
2015-12,ipca/inpc,2015-11-28,2015-12-29,2016-01-08
2016-01,ipca15,2015-12-12,2016-01-14,2016-01-22
2016-02,ipca15,2016-01-15,2016-02-15,2016-02-23
2016-03,ipca15,2016-02-16,2016-03-15,2016-03-23
2016-04,ipca15,2016-03-16,2016-04-13,2016-04-20
2016-05,ipca15,2016-04-14,2016-05-13,2016-05-20
2016-06,ipca15,2016-05-14,2016-06-14,2016-06-21
2016-07,ipca15,2016-06-15,2016-07-13,2016-07-21
2016-08,ipca15,2016-07-14,2016-08-12,2016-08-24
2016-09,ipca15,2016-08-13,2016-09-14,2016-09-22
2016-10,ipca15,2016-09-15,2016-10-13,2016-10-21
2016-11,ipca15,2016-10-14,2016-11-14,2016-11-23
2016-12,ipca15,2016-11-15,2016-12-13,2016-12-21
2016-01,ipca/inpc,2015-12-30,2016-01-28,2016-02-05
2016-02,ipca/inpc,2016-01-29,2016-02-29,2016-03-09
2016-03,ipca/inpc,2016-03-01,2016-03-30,2016-04-08
2016-04,ipca/inpc,2016-03-31,2016-04-28,2016-05-06
2016-05,ipca/inpc,2016-04-29,2016-05-30,2016-06-08
2016-06,ipca/inpc,2016-05-31,2016-06-29,2016-07-08
2016-07,ipca/inpc,2016-06-30,2016-07-28,2016-08-10
2016-08,ipca/inpc,2016-07-29,2016-08-30,2016-09-09
2016-09,ipca/inpc,2016-08-31,2016-09-28,2016-10-07
2016-10,ipca/inpc,2016-09-29,2016-10-27,2016-11-09
2016-11,ipca/inpc,2016-10-28,2016-11-30,2016-12-09
2016-12,ipca/inpc,2016-12-01,2016-12-29,2017-01-11
2017-01,ipca15,2016-12-14,2017-01-12,2017-01-19
2017-02,ipca15,2017-01-13,2017-02-13,2017-02-22
2017-03,ipca15,2017-02-14,2017-03-14,2017-03-22
2017-04,ipca15,2017-03-15,2017-04-12,2017-04-20
2017-05,ipca15,2017-04-13,2017-05-15,2017-05-23
2017-06,ipca15,2017-05-16,2017-06-13,2017-06-23
2017-07,ipca15,2017-06-14,2017-07-13,2017-07-20
2017-08,ipca15,2017-07-14,2017-08-15,2017-08-23
2017-09,ipca15,2017-08-16,2017-09-13,2017-09-21
2017-10,ipca15,2017-09-14,2017-10-11,2017-10-20
2017-11,ipca15,2017-10-12,2017-11-13,2017-11-23
2017-12,ipca15,2017-11-14,2017-12-13,2017-12-21
2017-01,ipca/inpc,2016-12-30,2017-01-30,2017-02-08
2017-02,ipca/inpc,2017-01-31,2017-02-24,2017-03-10
2017-03,ipca/inpc,2017-02-25,2017-03-29,2017-04-07
2017-04,ipca/inpc,2017-03-30,2017-04-28,2017-05-10
2017-05,ipca/inpc,2017-04-29,2017-05-31,2017-06-09
2017-06,ipca/inpc,2017-06-01,2017-06-28,2017-07-07
2017-07,ipca/inpc,2017-06-29,2017-07-01,2017-08-09
2017-08,ipca/inpc,2017-08-01,2017-08-29,2017-09-06
2017-09,ipca/inpc,2017-08-30,2017-09-27,2017-10-06
2017-10,ipca/inpc,2017-09-28,2017-10-30,2017-11-10
2017-11,ipca/inpc,2017-10-31,2017-11-29,2017-12-08
2017-12,ipca/inpc,2017-11-30,2017-12-28,2018-01-10
2018-01,ipca15,2017-12-14,2018-01-15,2018-01-23
2018-02,ipca15,2018-01-16,2018-02-15,2018-02-23
2018-03,ipca15,2018-02-16,2018-03-15,2018-03-23
2018-04,ipca15,2018-03-16,2018-04-13,2018-04-20
2018-05,ipca15,2018-04-14,2018-05-15,2018-05-23
2018-06,ipca15,2018-05-16,2018-06-13,2018-06-21
2018-07,ipca15,2018-06-14,2018-07-12,2018-07-20
2018-08,ipca15,2018-07-13,2018-08-13,2018-08-23
2018-09,ipca15,2018-08-14,2018-09-13,2018-09-21
2018-10,ipca15,2018-09-14,2018-10-11,2018-10-23
2018-11,ipca15,2018-10-12,2018-11-12,2018-11-23
2018-12,ipca15,2018-11-13,2018-12-12,2018-12-21
2018-01,ipca/inpc,2017-12-29,2018-01-29,2018-02-08
2018-02,ipca/inpc,2018-01-30,2018-03-01,2018-03-09
2018-03,ipca/inpc,2018-03-02,2018-03-29,2018-04-10
2018-04,ipca/inpc,2018-03-30,2018-04-27,2018-05-10
2018-05,ipca/inpc,2018-04-28,2018-05-29,2018-06-08
2018-06,ipca/inpc,2018-05-30,2018-06-27,2018-07-06
2018-07,ipca/inpc,2018-06-28,2018-07-27,2018-08-08
2018-08,ipca/inpc,2018-07-28,2018-08-29,2018-09-06
2018-09,ipca/inpc,2018-08-30,2018-09-27,2018-10-05
2018-10,ipca/inpc,2018-09-28,2018-10-26,2018-11-07
2018-11,ipca/inpc,2018-10-27,2018-11-28,2018-12-07
2018-12,ipca/inpc,2018-11-29,2018-12-28,2019-01-11
2019-01,ipca15,2018-12-13,2019-01-15,2019-01-23
2019-02,ipca15,2019-01-16,2019-02-12,2019-02-21
2019-03,ipca15,2019-02-13,2019-03-15,2019-03-26
2019-04,ipca15,2019-03-16,2019-04-12,2019-04-25
2019-05,ipca15,2019-04-13,2019-05-15,2019-05-24
2019-06,ipca15,2019-05-16,2019-06-12,2019-06-25
2019-07,ipca15,2019-06-13,2019-07-12,2019-07-23
2019-08,ipca15,2019-07-13,2019-08-13,2019-08-22
2019-09,ipca15,2019-08-14,2019-09-12,2019-09-24
2019-10,ipca15,2019-09-13,2019-10-11,2019-10-22
2019-11,ipca15,2019-10-12,2019-11-11,2019-11-22
2019-12,ipca15,2019-11-12,2019-12-11,2019-12-20
2019-01,ipca/inpc,2018-12-29,2019-01-29,2019-02-08
2019-02,ipca/inpc,2019-01-30,2019-02-26,2019-03-12
2019-03,ipca/inpc,2019-02-27,2019-03-29,2019-04-10
2019-04,ipca/inpc,2019-03-30,2019-04-30,2019-05-10
2019-05,ipca/inpc,2019-05-01,2019-05-29,2019-06-07
2019-06,ipca/inpc,2019-05-30,2019-06-28,2019-07-10
2019-07,ipca/inpc,2019-06-29,2019-07-29,2019-08-08
2019-08,ipca/inpc,2019-07-30,2019-08-27,2019-09-06
2019-09,ipca/inpc,2019-08-28,2019-09-27,2019-10-09
2019-10,ipca/inpc,2019-09-28,2019-10-28,2019-11-07
2019-11,ipca/inpc,2019-10-29,2019-11-27,2019-12-06
2019-12,ipca/inpc,2019-11-28,2019-12-27,2020-01-10
2020-01,ipca15,2019-12-12,2020-01-14,2020-01-23
2020-02,ipca15,2020-01-15,2020-02-11,2020-02-20
2020-03,ipca15,2020-02-12,2020-03-16,2020-03-25
2020-04,ipca15,2020-03-17,2020-04-13,2020-04-28
2020-05,ipca15,2020-04-14,2020-05-14,2020-05-26
2020-06,ipca15,2020-05-15,2020-06-15,2020-06-25
2020-07,ipca15,2020-06-16,2020-07-14,2020-07-24
2020-08,ipca15,2020-07-15,2020-08-13,2020-08-25
2020-09,ipca15,2020-08-14,2020-09-11,2020-09-23
2020-10,ipca15,2020-09-12,2020-10-13,2020-10-23
2020-11,ipca15,2020-10-14,2020-11-12,2020-11-24
2020-12,ipca15,2020-11-13,2020-12-11,2020-12-22
2020-01,ipca/inpc,2019-12-28,2020-01-28,2020-02-07
2020-02,ipca/inpc,2020-01-29,2020-03-02,2020-03-11
2020-03,ipca/inpc,2020-03-03,2020-03-30,2020-04-09
2020-04,ipca/inpc,2020-03-31,2020-04-29,2020-05-08
2020-05,ipca/inpc,2020-04-30,2020-05-28,2020-06-10
2020-06,ipca/inpc,2020-05-29,2020-06-30,2020-07-10
2020-07,ipca/inpc,2020-07-01,2020-07-28,2020-08-07
2020-08,ipca/inpc,2020-07-29,2020-08-27,2020-09-09
2020-09,ipca/inpc,2020-08-28,2020-09-28,2020-10-09
2020-10,ipca/inpc,2020-09-29,2020-10-28,2020-11-06
2020-11,ipca/inpc,2020-10-29,2020-11-27,2020-12-08
2020-12,ipca/inpc,2020-11-28,2020-12-29,2021-01-12
2021-01,ipca15,2020-12-12,2021-01-14,2021-01-26
2021-02,ipca15,2021-01-15,2021-02-11,2021-02-24
2021-03,ipca15,2021-02-12,2021-03-15,2021-03-25
2021-04,ipca15,2021-03-16,2021-04-13,2021-04-27
2021-05,ipca15,2021-04-14,2021-05-13,2021-05-25
2021-06,ipca15,2021-05-14,2021-06-14,2021-06-25
2021-07,ipca15,2021-06-15,2021-07-13,2021-07-23
2021-08,ipca15,2021-07-14,2021-08-13,2021-08-25
2021-09,ipca15,2021-08-14,2021-09-14,2021-09-24
2021-10,ipca15,2021-09-15,2021-10-13,2021-10-26
2021-11,ipca15,2021-10-14,2021-11-12,2021-11-25
2021-12,ipca15,2021-11-13,2021-12-13,2021-12-23
2021-01,ipca/inpc,2020-12-30,2021-01-28,2021-02-09
2021-02,ipca/inpc,2021-01-29,2021-03-01,2021-03-11
2021-03,ipca/inpc,2021-03-02,2021-03-29,2021-04-09
2021-04,ipca/inpc,2021-03-30,2021-04-29,2021-05-11
2021-05,ipca/inpc,2021-04-30,2021-05-27,2021-06-09
2021-06,ipca/inpc,2021-05-28,2021-06-28,2021-07-08
2021-07,ipca/inpc,2021-06-29,2021-07-28,2021-08-10
2021-08,ipca/inpc,2021-07-29,2021-08-27,2021-09-09
2021-09,ipca/inpc,2021-08-28,2021-09-28,2021-10-08
2021-10,ipca/inpc,2021-09-29,2021-10-28,2021-11-10
2021-11,ipca/inpc,2021-10-29,2021-11-29,2021-12-10
2021-12,ipca/inpc,2021-11-30,2021-12-28,2022-01-11
2022-01,ipca15,2021-12-14,2022-01-13,2022-01-26
2022-02,ipca15,2022-01-14,2022-02-11,2022-02-23
2022-03,ipca15,2022-02-12,2022-03-16,2022-03-25
2022-04,ipca15,2022-03-17,2022-04-13,2022-04-27
2022-05,ipca15,2022-04-14,2022-05-13,2022-05-24
2022-06,ipca15,2022-05-14,2022-06-13,2022-06-24
2022-07,ipca15,2022-06-14,2022-07-13,2022-07-26
2022-08,ipca15,2022-07-14,2022-08-12,2022-08-24
2022-09,ipca15,2022-08-13,2022-09-14,2022-09-27
2022-10,ipca15,2022-09-15,2022-10-13,2022-10-25
2022-11,ipca15,2022-10-14,2022-11-14,2022-11-24
2022-12,ipca15,2022-11-15,2022-12-13,2022-12-23
2022-01,ipca/inpc,2021-12-29,2022-01-28,2022-02-09
2022-02,ipca/inpc,2022-01-29,2022-02-25,2022-03-11
2022-03,ipca/inpc,2022-02-26,2022-03-30,2022-04-08
2022-04,ipca/inpc,2022-03-31,2022-04-29,2022-05-11
2022-05,ipca/inpc,2022-04-30,2022-05-27,2022-06-09
2022-06,ipca/inpc,2022-05-28,2022-06-29,2022-07-08
2022-07,ipca/inpc,2022-06-30,2022-07-28,2022-08-09
2022-08,ipca/inpc,2022-07-29,2022-08-29,2022-09-09
2022-09,ipca/inpc,2022-08-30,2022-09-28,2022-10-11
2022-10,ipca/inpc,2022-09-29,2022-10-27,2022-11-10
2022-11,ipca/inpc,2022-10-28,2022-11-29,2022-12-09
2022-12,ipca/inpc,2022-11-30,2022-12-27,2023-01-10
